Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Damian Lillard,PG,31,POR,3,3,31.0,6.0,16.7,.360,0.7,8.0,.083,5.3,8.7,.615,.380,4.3,4.7,.929,0.3,3.0,3.3,7.3,0.3,0.0,2.3,2.0,17.0
Nassir Little,PF,21,POR,3,1,25.0,4.0,7.3,.545,1.3,3.0,.444,2.7,4.3,.615,.636,0.0,0.7,.000,1.7,3.0,4.7,1.0,1.0,0.7,0.7,1.7,9.3
Kevon Looney,C,25,GSW,4,4,16.8,2.5,4.5,.556,0.0,0.0,,2.5,4.5,.556,.556,1.5,2.0,.750,2.3,3.5,5.8,0.8,0.5,0.8,0.3,2.0,6.5
Brook Lopez,C,33,MIL,1,1,28.0,3.0,9.0,.333,2.0,4.0,.500,1.0,5.0,.200,.444,0.0,0.0,,2.0,3.0,5.0,0.0,1.0,3.0,0.0,3.0,8.0
Robin Lopez,C,33,ORL,4,0,13.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,1.5,2.0,.750,1.3,1.8,3.0,0.5,0.0,0.3,0.5,0.5,5.5
Kevin Love,PF,33,CLE,4,0,21.5,3.5,8.5,.412,0.5,3.0,.167,3.0,5.5,.545,.441,3.5,3.8,.933,1.3,5.3,6.5,2.8,0.3,0.3,0.8,0.5,11.0
Kyle Lowry,PG,35,MIA,2,2,28.0,2.5,9.5,.263,1.0,6.0,.167,1.5,3.5,.429,.316,1.0,1.0,1.000,0.5,1.0,1.5,7.0,1.0,0.5,2.0,3.0,7.0
Timothé Luwawu-Cabarrot,SF,26,ATL,2,0,3.5,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
Trey Lyles,PF,26,DET,3,0,19.0,2.7,6.0,.444,1.0,2.3,.429,1.7,3.7,.455,.528,1.7,2.0,.833,1.0,4.0,5.0,1.0,0.7,0.7,1.7,0.3,8.0
Théo Maledon,PG,20,OKC,4,0,18.3,1.0,3.8,.267,0.5,2.8,.182,0.5,1.0,.500,.333,0.5,0.5,1.000,0.0,1.3,1.3,2.0,0.5,0.0,1.8,1.5,3.0
Sandro Mamukelashvili,PF,22,MIL,4,0,12.5,1.3,3.3,.385,0.5,1.3,.400,0.8,2.0,.375,.462,0.5,0.5,1.000,0.8,1.3,2.0,0.5,0.0,0.0,0.0,0.8,3.5
Terance Mann,SG,25,LAC,3,0,30.0,3.3,7.3,.455,1.0,2.7,.375,2.3,4.7,.500,.523,1.3,1.7,.800,2.7,4.3,7.0,3.7,1.7,0.3,0.7,2.0,9.0
Tre Mann,PG,20,OKC,4,0,11.8,2.3,5.3,.429,0.8,2.0,.375,1.5,3.3,.462,.500,0.0,0.5,.000,0.3,0.8,1.0,0.3,0.3,0.5,0.3,1.0,5.3
Boban Marjanović,C,33,DAL,1,0,9.0,5.0,5.0,1.000,0.0,0.0,,5.0,5.0,1.000,1.000,1.0,2.0,.500,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,11.0
Lauri Markkanen,PF,24,CLE,4,4,31.3,4.0,13.0,.308,1.8,6.5,.269,2.3,6.5,.346,.375,2.0,2.5,.800,1.5,5.0,6.5,2.0,1.5,0.8,0.5,0.5,11.8
